,PPN
5898,236490354
2990,25602541X
8502,119204657
1476,197675530
1219,19339071X
6713,003519074
11226,144390868
5117,108893251
6918,238230309
11789,25300618X
11851,237041537
5188,256093377
6802,258585633
13234,254856942
3473,264640802
1804,229696570
12855,177329998
2770,256080712
10932,231050739
9235,022440976
7202,228923964
1968,049617931
9994,193635283
9325,231672160
1094,055937853
1691,006127142
13551,230454127
8150,250556677
932,192053604
4889,195819292
5714,265090709
264,262387182
2171,238174964
13449,220428115
368,178419230
2930,164219528
8243,160093066
3787,16113839X
5231,232936102
10287,259154318
4982,183468236
8976,243061196
3559,17863834X
13630,194500713
930,178386480
11780,19321427X
7373,225860562
12044,226812839
6260,25772138X
8184,265941180
1620,248940503
11797,177373857
3850,169917029
8430,224006533
1646,250706164
3256,262746751
4245,234862726
12767,237002159
4232,230723799
10733,234875356
10700,200141627
8593,119962535
6148,236247565
11932,165468475
10650,176653902
12131,197798586
6418,250130432
9119,132057719
8034,235875341
12385,265093198
7263,245201661
1353,249603780
12805,231435231
1432,189844612
7733,156217791
8474,255355041
119,249389754
243,192551736
13539,053886070
7210,201020610
3419,262770792
13219,264296095
5278,224511971
6154,181954230
12341,264659945
10230,18983112X
2173,162432534
7144,16397019X
12077,195406613
2259,265053773
6761,262710609
11911,231049609
14022,152667911
14468,233226311
4493,186120370
4266,18970781X
6392,191816272
9001,238514862
1393,263077144
9568,241141648
